trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,6462,SHBG,Homo sapiens,9606
transcription_factor_NCBI,2316,FLNA,Homo sapiens,9606
transcription_factor_NCBI,5914,RARA,Homo sapiens,9606
transcription_factor_NCBI,613,BCR,Homo sapiens,9606
transcription_factor_NCBI,7295,TXN,Homo sapiens,9606
transcription_factor_NCBI,468,ATF4,Homo sapiens,9606
transcription_factor_NCBI,4973,OLR1,Homo sapiens,9606
transcription_factor_NCBI,898,CCNE1,Homo sapiens,9606
transcription_factor_NCBI,55294,FBXW7,Homo sapiens,9606
transcription_factor_NCBI,2624,GATA2,Homo sapiens,9606
transcription_factor_NCBI,7019,TFAM,Homo sapiens,9606
transcription_factor_NCBI,2130,EWSR1,Homo sapiens,9606
transcription_factor_NCBI,55193,PBRM1,Homo sapiens,9606
transcription_factor_NCBI,51085,MLXIPL,Homo sapiens,9606
transcription_factor_NCBI,2641,GCG,Homo sapiens,9606
transcription_factor_NCBI,406913,MIR126,Homo sapiens,9606
transcription_factor_NCBI,1548,CYP2A6,Homo sapiens,9606
transcription_factor_NCBI,1410,CRYAB,Homo sapiens,9606
transcription_factor_NCBI,4322,MMP13,Homo sapiens,9606
transcription_factor_NCBI,3418,IDH2,Homo sapiens,9606
transcription_factor_NCBI,891,CCNB1,Homo sapiens,9606
transcription_factor_NCBI,6573,SLC19A1,Homo sapiens,9606
transcription_factor_NCBI,2158,F9,Homo sapiens,9606
transcription_factor_NCBI,1386,ATF2,Homo sapiens,9606
transcription_factor_NCBI,5617,PRL,Homo sapiens,9606
transcription_factor_NCBI,2547,XRCC6,Homo sapiens,9606
transcription_factor_NCBI,1278,COL1A2,Homo sapiens,9606
transcription_factor_NCBI,5576,PRKAR2A,Homo sapiens,9606
transcription_factor_NCBI,7080,NKX2-1,Homo sapiens,9606
transcription_factor_NCBI,2066,ERBB4,Homo sapiens,9606
transcription_factor_NCBI,2627,GATA6,Homo sapiens,9606
transcription_factor_NCBI,5604,MAP2K1,Homo sapiens,9606
transcription_factor_NCBI,2516,NR5A1,Homo sapiens,9606
transcription_factor_NCBI,5292,PIM1,Homo sapiens,9606
transcription_factor_NCBI,2597,GAPDH,Homo sapiens,9606
transcription_factor_NCBI,1113,CHGA,Homo sapiens,9606
transcription_factor_NCBI,7520,XRCC5,Homo sapiens,9606
transcription_factor_NCBI,3716,JAK1,Homo sapiens,9606
transcription_factor_NCBI,5077,PAX3,Homo sapiens,9606
transcription_factor_NCBI,1244,ABCC2,Homo sapiens,9606
transcription_factor_NCBI,1000,CDH2,Homo sapiens,9606
transcription_factor_NCBI,28,ABO,Homo sapiens,9606
