"ucsc","entrezgene_id"
"uc011ktg.2","338398"
"uc011mdu.1","26086"
"uc011mol.2","5207"
"uc011msk.2","340547"
"uc021omq.1","81888"
"uc021oov.1",NA
"uc021peo.1",NA
"uc021riz.1","8848"
"uc021rnp.2","57820"
"uc021rua.1","3091"
"uc021tgx.1","7041"
"uc021tmb.1","400548"
"uc021tno.1","23293"
"uc021txr.1","201181"
"uc021vgi.1",NA
"uc021vmp.1","10018"
"uc021wyc.1","1605"
"uc021xdp.1","339122"
"uc021xhg.1",NA
"uc021xiw.1","647323"
"uc021xoc.1","54940"
"uc021xyd.1","2690"
"uc021zfa.1","387357"
"uc022btc.1","100133123"
"uc031pnc.1","2730"
"uc031ppi.1","27173"
"uc031pqt.1","8407"
"uc031prw.1","55220"
"uc031qdy.1","5962"
"uc031ruc.1","7335"
"uc031rwf.1","23786"
"uc031rwh.1","23786"
"uc031rxk.1","100874123"
"uc031sak.1","100652759"
"uc031sqy.1","100271873"
"uc001atl.2","90231"
"uc001avp.2","23254"
"uc001bjr.3","864"
"uc001bqc.2","1104"
"uc001byc.3","58512"
"uc001che.3","22887"
"uc001den.3",NA
"uc001dgp.1",NA
"uc001dnt.1",NA
"uc001duw.1","277"
"uc001dvc.4","22854"
"uc001ecp.1","389"
"uc001fsu.1","81448"
"uc001fuh.3","391123"
"uc001gbu.3","25903"
"uc001hch.1","284576"
"uc001hrf.2","116841"
"uc001hvs.1","84451"
"uc001ixr.2","56288"
"uc001jds.1","26095"
"uc001lau.2","79949"
"uc001loz.3",NA
"uc001lyf.3","57053"
"uc001mxv.1",NA
"uc001nse.1","745"
"uc001pam.2","1740"
"uc001plb.2","57569"
"uc001pvf.1","3145"
"uc001qju.2","654429"
"uc001qux.2","57494"
"uc001syq.1",NA
"uc001tcu.3","144481"
"uc001tmr.3","121549"
"uc001uch.1","6249"
"uc001uig.2","440119"
"uc001uka.3","50614"
"uc001uxk.3","400123"
"uc001uxk.3","646982"
"uc001vet.1","10301"
"uc001vet.1","100874074"
"uc001vks.3","100874222"
"uc001vku.1","100874222"
"uc001vmx.1","27199"
"uc001vrs.2","8874"
"uc001vsj.4","23250"
"uc001vxv.1","341799"
"uc001vzu.2","283624"
"uc001xil.3","100128233"
"uc001xly.3","6547"
"uc001yzb.1","100033445"
"uc001zsc.3","1159"
"uc001zsn.3","548596"
"uc002acp.3","5873"
"uc002agy.1","101928850"
"uc002ald.3","83660"
"uc002cri.1","100128788"
"uc002cta.2","79228"
"uc002egu.2","100505619"
"uc002ekj.2","1071"
"uc002fkr.3","54971"
"uc002fnp.3","27132"
"uc002ftk.1","5345"
"uc002ggf.1","339168"
"uc002hzc.1","3060"
"uc002icd.3","100885850"
"uc002iye.1",NA
"uc002kbk.1","116729"
"uc002kco.4","92659"
"uc002kml.1","201477"
"uc002lco.3","83473"
"uc002lmc.3",NA
"uc002lst.1","10297"
"uc002mut.1","26810"
"uc002mwf.3","4784"
"uc002nqg.3",NA
"uc002oag.3","100506469"
"uc002oas.2","2116"
"uc002oau.2","2116"
"uc002obx.1",NA
"uc002olc.1","55095"
"uc002ooa.3","57731"
"uc002oti.3","284338"
"uc002oxo.1","284348"
"uc002phg.5","84215"
"uc002qym.2","400941"
"uc002qzi.2","8853"
"uc002sdy.1","644838"
"uc002tdr.3","84620"
"uc002txu.3","4703"
"uc002uws.4","285172"
"uc002vfm.1","646324"
"uc002vrw.1","6082"
"uc002wxv.5","140688"
"uc002xhz.1","85449"
"uc002xis.1","128439"
"uc002xne.2","149708"
"uc002zdt.2","284837"
"uc002zfo.1","386681"
"uc003bew.2","55615"
"uc003bqo.1","101927394"
"uc003dsj.1","79310"
"uc003dvr.1","152225"
"uc003edk.3","8856"
"uc003edp.3",NA
"uc003err.1","199221"
"uc003frc.3","6480"
"uc003gge.1",NA
"uc003ggi.1",NA
"uc003gqj.1","359822"
"uc003gwb.1","22998"
"uc003igh.1","100507487"
"uc003ihd.3",NA
"uc003imv.3","54553"
"uc003ipv.1","285505"
"uc003jjy.2","133688"
"uc003kdo.2","256006"
"uc003kpl.3","9315"
"uc003mwo.3",NA
"uc003pch.4","90523"
"uc003poz.2","114792"
